MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,KOHORTE,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-1,201612,201409,0,27,27.34,5.52,22.24,81.324800,67.52,237.22,0.004823218500,67.98,55.77,240.83,305.73,99.32,82.04,303.67,250.83,1083.12
-1,201701,201409,0,28,27.34,5.52,21.74,79.510800,58.18,202.51,0.004868252000,62.20,49.74,134.95,286.13,93.53,79.97,267.62,228.81,620.77
-1,201702,201409,0,29,27.34,5.52,21.84,79.877500,57.81,194.83,0.005027638700,63.85,50.68,214.82,292.36,90.53,79.38,264.69,232.07,983.66
-1,201703,201409,0,30,27.34,5.52,22.09,80.784400,66.57,245.71,0.004591290100,73.99,58.35,261.42,334.99,89.98,78.86,301.41,264.18,1183.57
-1,201704,201409,0,31,27.34,5.52,21.90,80.113900,61.09,210.78,0.004910878000,67.77,53.35,195.11,309.40,90.14,78.72,278.88,243.55,890.75
-1,201705,201409,0,32,27.34,5.52,21.73,79.477000,66.59,235.78,0.004785870200,73.19,58.93,141.81,336.83,90.98,80.52,306.45,271.20,652.59
-1,201706,201409,0,33,27.34,5.52,21.69,79.322700,63.21,222.73,0.004808949400,69.22,57.85,159.71,319.15,91.32,83.57,291.45,266.72,736.40
-1,201707,201409,0,34,27.34,5.52,21.36,78.106900,60.55,220.90,0.004644587300,66.96,56.86,155.12,313.57,90.42,84.91,283.52,266.24,726.38
-1,201708,201409,0,35,27.34,5.52,21.12,77.248200,58.13,211.60,0.004655571500,64.14,53.41,116.37,303.70,90.63,83.27,275.25,252.89,551.00
0,201410,201410,1,0,375.13,80.11,375.13,100.000000,538.64,98.86,0.092330090200,589.30,577.69,1454.05,157.09,91.40,98.03,143.59,154.00,387.61
0,201411,201410,0,1,375.13,80.11,283.83,75.662700,482.74,100.00,0.081803203900,526.81,509.22,694.96,185.61,91.64,96.66,170.08,179.41,244.85
0,201412,201410,0,2,375.13,80.11,281.02,74.914100,540.41,124.57,0.073513657200,515.61,531.14,1023.05,183.48,104.81,103.01,192.30,189.00,364.05
0,201501,201410,0,3,375.13,80.11,261.53,69.718900,465.10,112.12,0.070296955000,471.04,475.26,663.61,180.11,98.74,100.90,177.84,181.72,253.74
0,201502,201410,0,4,375.13,80.11,257.32,68.594700,441.27,98.69,0.075768521900,443.61,440.71,515.12,172.40,99.47,99.35,171.49,171.27,200.19
0,201503,201410,0,5,375.13,80.11,253.09,67.468100,456.35,114.62,0.067465729900,475.09,455.67,547.98,187.71,96.06,95.91,180.31,180.04,216.52
0,201504,201410,0,6,375.13,80.11,238.37,63.543300,473.67,116.90,0.068663140700,471.57,443.86,513.78,197.83,100.44,94.12,198.71,186.21,215.54
0,201505,201410,0,7,375.13,80.11,240.73,64.172000,501.03,129.83,0.065392514000,513.50,467.40,607.09,213.31,97.57,91.02,208.13,194.16,252.19
0,201506,201410,0,8,375.13,80.11,240.68,64.159000,512.63,131.75,0.065932137900,530.27,493.66,829.51,220.32,96.67,93.10,212.99,205.11,344.66
0,201507,201410,0,9,375.13,80.11,240.41,64.088000,517.91,141.43,0.062055749400,529.27,506.84,763.67,220.15,97.85,95.76,215.43,210.82,317.65
0,201508,201410,0,10,375.13,80.11,237.27,63.250100,475.77,132.63,0.060788333800,511.55,473.12,607.88,215.60,93.01,92.49,200.52,199.40,256.20
0,201509,201410,0,11,375.13,80.11,243.55,64.925500,462.27,127.05,0.061654017700,500.05,429.31,526.71,205.32,92.44,85.85,189.80,176.27,216.26
0,201510,201410,0,12,375.13,80.11,242.10,64.538400,486.49,140.60,0.058631431500,507.64,433.66,624.46,209.68,95.83,85.43,200.95,179.12,257.94
0,201511,201410,0,13,375.13,80.11,235.30,62.725100,480.65,136.74,0.059564125400,488.32,412.94,605.25,207.53,98.43,84.56,204.27,175.50,257.22
0,201512,201410,0,14,375.13,80.11,238.93,63.693100,560.93,167.20,0.056847889600,484.94,442.88,654.00,202.96,115.67,91.33,234.77,185.36,273.72
0,201601,201410,0,15,375.13,80.11,238.84,63.668500,497.71,151.10,0.055815538900,482.76,414.82,663.48,202.13,103.10,85.93,208.39,173.68,277.80
0,201602,201410,0,16,375.13,80.11,240.93,64.225100,493.40,138.42,0.060404299800,486.39,402.19,887.82,201.88,101.44,82.69,204.79,166.94,368.50
0,201603,201410,0,17,375.13,80.11,245.03,65.320100,546.47,171.54,0.053981798100,539.05,444.87,782.08,219.99,101.38,82.53,223.02,181.56,319.17
0,201604,201410,0,18,375.13,80.11,244.10,65.071800,566.40,172.53,0.055630993200,543.16,462.72,1034.00,222.51,104.28,85.19,232.03,189.56,423.59
0,201605,201410,0,19,375.13,80.11,243.50,64.910100,578.62,183.72,0.053368856200,567.50,491.24,996.26,233.06,101.96,86.56,237.63,201.74,409.15
0,201606,201410,0,20,375.13,80.11,248.39,66.214900,584.83,182.30,0.054363240000,576.43,509.88,1223.59,232.06,101.46,88.46,235.45,205.27,492.61
0,201607,201410,0,21,375.13,80.11,248.76,66.314100,580.16,191.25,0.051404645900,565.98,528.28,1091.89,227.52,102.51,93.34,233.22,212.36,438.93
0,201608,201410,0,22,375.13,80.11,243.74,64.975100,528.59,174.95,0.051200119100,532.61,481.43,1053.06,218.52,99.25,90.39,216.87,197.52,432.04
0,201609,201410,0,23,375.13,80.11,246.17,65.624200,520.84,168.55,0.052363132100,550.63,475.94,1364.14,223.68,94.59,86.43,211.57,193.33,554.14
0,201610,201410,0,24,375.13,80.11,258.65,68.949500,573.41,197.33,0.049240628700,588.12,516.61,1536.50,227.38,97.50,87.84,221.69,199.73,594.05
0,201611,201410,0,25,375.13,80.11,262.61,70.006500,562.05,193.64,0.049185353800,570.18,487.45,2570.59,217.12,98.57,85.49,214.02,185.61,978.85
0,201612,201410,0,26,375.13,80.11,267.30,71.256200,648.81,237.22,0.046347129100,577.10,528.13,2155.37,215.90,112.43,91.52,242.73,197.58,806.34
0,201701,201410,0,27,375.13,80.11,258.01,68.779700,554.01,202.51,0.046358032900,518.77,462.06,1193.20,201.06,106.79,89.07,214.72,179.09,462.46
0,201702,201410,0,28,375.13,80.11,261.03,69.585300,557.12,194.83,0.048455356900,540.28,478.59,1928.93,206.98,103.12,88.58,213.43,183.35,738.96
0,201703,201410,0,29,375.13,80.11,267.52,71.315200,654.29,245.71,0.045123596400,630.47,553.91,2241.80,235.67,103.78,87.86,244.58,207.05,837.98
0,201704,201410,0,30,375.13,80.11,260.39,69.414700,579.86,210.78,0.046616869500,563.09,494.79,1699.05,216.25,102.98,87.87,222.69,190.01,652.49
0,201705,201410,0,31,375.13,80.11,257.82,68.729100,635.38,235.78,0.045664982600,614.71,548.42,1216.32,238.42,103.36,89.22,246.44,212.71,471.77
0,201706,201410,0,32,375.13,80.11,258.40,68.884100,613.33,222.73,0.046663150700,591.47,550.66,1333.19,228.89,103.70,93.10,237.35,213.10,515.93
0,201707,201410,0,33,375.13,80.11,253.29,67.521900,582.11,220.90,0.044654500500,571.50,538.21,1298.28,225.63,101.86,94.17,229.82,212.49,512.56
0,201708,201410,0,34,375.13,80.11,249.51,66.513100,556.76,211.60,0.044587247100,547.06,500.61,962.94,219.25,101.77,91.51,223.14,200.64,385.94
1,201411,201411,1,0,100.00,100.00,100.00,100.000000,100.00,100.00,0.016945475500,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1,201412,201411,0,1,100.00,100.00,67.07,67.071600,94.39,124.57,0.012839445500,89.91,89.58,128.80,134.06,104.97,99.63,140.72,133.56,192.04
1,201501,201411,0,2,100.00,100.00,58.60,58.598100,78.22,112.12,0.011822430900,78.18,77.45,84.21,133.42,100.05,99.06,133.49,132.17,143.71
1,201502,201411,0,3,100.00,100.00,56.90,56.896600,75.41,98.69,0.012947902600,74.19,73.07,68.44,130.40,101.64,98.49,132.53,128.42,120.29
1,201503,201411,0,4,100.00,100.00,54.73,54.733400,74.70,114.62,0.011042924500,75.99,72.49,66.11,138.84,98.29,95.39,136.47,132.44,120.78
1,201504,201411,0,5,100.00,100.00,49.65,49.649800,75.23,116.90,0.010905202600,73.34,68.59,60.50,147.72,102.57,93.52,151.52,138.14,121.86
1,201505,201411,0,6,100.00,100.00,50.05,50.048100,79.83,129.83,0.010419390700,79.83,72.52,66.14,159.51,100.00,90.84,159.51,144.90,132.15
1,201506,201411,0,7,100.00,100.00,50.00,49.995400,82.61,131.75,0.010624503600,82.30,76.89,91.75,164.62,100.37,93.43,165.23,153.80,183.52
1,201507,201411,0,8,100.00,100.00,50.51,50.513800,85.72,141.43,0.010270733600,84.77,81.25,87.86,167.82,101.11,95.85,169.69,160.85,173.92
1,201508,201411,0,9,100.00,100.00,49.61,49.607600,78.03,132.63,0.009969638500,81.12,74.75,69.12,163.52,96.19,92.16,157.29,150.69,139.33
1,201509,201411,0,10,100.00,100.00,51.17,51.169300,75.74,127.05,0.010101383800,79.99,68.38,63.90,156.32,94.69,85.49,148.01,133.64,124.89
1,201510,201411,0,11,100.00,100.00,51.19,51.193100,80.36,140.60,0.009685387400,81.52,69.94,74.80,159.24,98.58,85.80,156.98,136.63,146.11
1,201511,201411,0,12,100.00,100.00,49.58,49.578600,80.47,136.74,0.009971893900,79.74,67.20,76.71,160.83,100.91,84.28,162.30,135.55,154.73
1,201512,201411,0,13,100.00,100.00,50.40,50.404300,94.03,167.20,0.009529461000,80.03,72.27,87.87,158.78,117.49,90.30,186.55,143.39,174.32
1,201601,201411,0,14,100.00,100.00,50.59,50.586300,84.89,151.10,0.009520453400,80.39,68.76,89.61,158.91,105.61,85.53,167.82,135.92,177.15
1,201602,201411,0,15,100.00,100.00,51.52,51.518900,86.09,138.42,0.010539708900,83.18,68.58,125.43,161.45,103.50,82.46,167.11,133.13,243.46
1,201603,201411,0,16,100.00,100.00,52.42,52.423700,94.01,171.54,0.009286217200,90.88,74.49,108.37,173.36,103.44,81.97,179.32,142.10,206.72
1,201604,201411,0,17,100.00,100.00,52.08,52.084700,97.25,172.53,0.009551810600,91.04,77.28,142.14,174.79,106.82,84.89,186.72,148.38,272.90
1,201605,201411,0,18,100.00,100.00,51.83,51.828800,99.12,183.72,0.009142015400,94.83,81.93,137.28,182.96,104.52,86.40,191.24,158.08,264.88
1,201606,201411,0,19,100.00,100.00,53.33,53.329900,100.96,182.30,0.009384514500,97.45,85.67,169.51,182.73,103.60,87.91,189.31,160.64,317.84
1,201607,201411,0,20,100.00,100.00,53.63,53.632000,101.29,191.25,0.008974512700,97.17,90.08,156.67,181.18,104.24,92.71,188.86,167.97,292.11
1,201608,201411,0,21,100.00,100.00,52.06,52.057000,90.84,174.95,0.008799367900,90.12,80.81,148.24,173.12,100.80,89.67,174.51,155.23,284.76
1,201609,201411,0,22,100.00,100.00,52.40,52.402600,89.91,168.55,0.009039400500,93.41,80.05,194.84,178.25,96.26,85.70,171.58,152.76,371.81
1,201610,201411,0,23,100.00,100.00,56.31,56.308300,100.97,197.33,0.008670225100,101.99,89.06,236.64,181.13,98.99,87.32,179.31,158.16,420.26
1,201611,201411,0,24,100.00,100.00,58.26,58.264400,102.39,193.64,0.008960095400,102.09,86.95,419.86,175.21,100.29,85.17,175.73,149.24,720.61
1,201612,201411,0,25,100.00,100.00,60.16,60.159900,119.71,237.22,0.008551263700,104.95,95.22,350.28,174.46,114.06,90.72,198.98,158.28,582.24
1,201701,201411,0,26,100.00,100.00,57.37,57.370100,101.64,202.51,0.008505110500,93.57,83.16,191.75,163.09,108.63,88.87,177.17,144.95,334.24
1,201702,201411,0,27,100.00,100.00,58.68,58.681200,103.39,194.83,0.008992412000,98.84,86.95,317.63,168.43,104.61,87.97,176.19,148.17,541.27
1,201703,201411,0,28,100.00,100.00,60.52,60.520000,121.51,245.71,0.008380311000,114.65,100.10,356.32,189.44,105.99,87.31,200.78,165.40,588.77
1,201704,201411,0,29,100.00,100.00,58.45,58.445100,106.71,210.78,0.008578735000,102.03,89.33,268.61,174.57,104.59,87.55,182.58,152.84,459.59
1,201705,201411,0,30,100.00,100.00,57.35,57.351600,115.24,235.78,0.008282161300,109.87,97.72,190.71,191.57,104.89,88.95,200.93,170.39,332.53
1,201706,201411,0,31,100.00,100.00,57.43,57.432100,112.30,222.73,0.008544120100,106.54,98.68,202.98,185.51,105.41,92.62,195.54,171.81,353.43
1,201707,201411,0,32,100.00,100.00,56.10,56.102500,106.92,220.90,0.008202101600,103.60,96.75,203.80,184.66,103.21,93.38,190.58,172.44,363.27
1,201708,201411,0,33,100.00,100.00,54.78,54.776900,101.19,211.60,0.008103935600,98.20,89.23,149.75,179.28,103.05,90.86,184.74,162.89,273.38
2,201412,201412,1,0,66.20,113.16,66.20,100.000000,69.42,124.57,0.009443814800,59.66,63.42,113.44,90.13,116.36,106.30,104.87,95.80,171.37
2,201501,201412,0,1,66.20,113.16,39.27,59.318200,51.18,112.12,0.007736175200,52.62,50.89,54.08,133.99,97.28,96.72,130.35,129.60,137.73
