monate_seit_einfuehrung_programm_kohorte,monat,monat_jahr,monat_monat,monat_jahreszeit,kohorte,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,erster_monat_kohorte_fg,monate_seit_existenz_kohorte,kohortengroesse_indexiert,identifizierte_kunden_indexiert,rabatt_indexiert,retentionrate
-2,201706,2017,6,Sommer,201408,2014,8,Sommer,False,34,0.41,0.32,4.16,78.04878048780488
-2,201707,2017,7,Sommer,201408,2014,8,Sommer,False,35,0.41,0.33,3.79,80.48780487804879
-2,201708,2017,8,Sommer,201408,2014,8,Sommer,False,36,0.41,0.31,2.9,75.60975609756098
-1,201409,2014,9,Herbst,201409,2014,9,Herbst,True,0,27.34,27.34,47.67,100.0
-1,201410,2014,10,Herbst,201409,2014,9,Herbst,False,1,27.34,26.22,252.32,95.90343818580833
-1,201411,2014,11,Herbst,201409,2014,9,Herbst,False,2,27.34,23.16,96.07,84.71104608632041
-1,201412,2014,12,Winter,201409,2014,9,Herbst,False,3,27.34,23.62,149.79,86.39356254572056
-1,201501,2015,1,Winter,201409,2014,9,Herbst,False,4,27.34,22.8,95.79,83.39429407461594
-1,201502,2015,2,Winter,201409,2014,9,Herbst,False,5,27.34,22.55,73.62,82.47988295537674
-1,201503,2015,3,Frühling,201409,2014,9,Herbst,False,6,27.34,22.32,86.98,81.63862472567666
-1,201504,2015,4,Frühling,201409,2014,9,Herbst,False,7,27.34,21.59,78.78,78.96854425749818
-1,201505,2015,5,Frühling,201409,2014,9,Herbst,False,8,27.34,21.72,96.85,79.44403803950254
-1,201506,2015,6,Sommer,201409,2014,9,Herbst,False,9,27.34,21.67,136.43,79.26115581565473
-1,201507,2015,7,Sommer,201409,2014,9,Herbst,False,10,27.34,21.47,117.33,78.52962692026335
-1,201508,2015,8,Sommer,201409,2014,9,Herbst,False,11,27.34,21.37,94.39,78.16386247256767
-1,201509,2015,9,Herbst,201409,2014,9,Herbst,False,12,27.34,21.83,77.03,79.8463789319678
-1,201510,2015,10,Herbst,201409,2014,9,Herbst,False,13,27.34,21.61,92.53,79.0416971470373
-1,201511,2015,11,Herbst,201409,2014,9,Herbst,False,14,27.34,21.07,87.3,77.06656912948061
-1,201512,2015,12,Winter,201409,2014,9,Herbst,False,15,27.34,21.24,91.71,77.68836869056327
-1,201601,2016,1,Winter,201409,2014,9,Herbst,False,16,27.34,21.15,92.3,77.35918068763715
-1,201602,2016,2,Winter,201409,2014,9,Herbst,False,17,27.34,21.22,116.25,77.61521580102414
-1,201603,2016,3,Frühling,201409,2014,9,Herbst,False,18,27.34,21.36,105.57,78.12728602779809
-1,201604,2016,4,Frühling,201409,2014,9,Herbst,False,19,27.34,21.37,137.75,78.16386247256767
-1,201605,2016,5,Frühling,201409,2014,9,Herbst,False,20,27.34,21.44,127.73,78.41989758595464
-1,201606,2016,6,Sommer,201409,2014,9,Herbst,False,21,27.34,21.74,168.71,79.51719092904169
-1,201607,2016,7,Sommer,201409,2014,9,Herbst,False,22,27.34,21.57,127.63,78.89539136795904
-1,201608,2016,8,Sommer,201409,2014,9,Herbst,False,23,27.34,21.21,133.29,77.57863935625457
-1,201609,2016,9,Herbst,201409,2014,9,Herbst,False,24,27.34,21.35,167.83,78.09070958302854
-1,201610,2016,10,Herbst,201409,2014,9,Herbst,False,25,27.34,21.96,177.07,80.32187271397221
-1,201611,2016,11,Herbst,201409,2014,9,Herbst,False,26,27.34,22.04,278.52,80.61448427212875
-1,201612,2016,12,Winter,201409,2014,9,Herbst,False,27,27.34,22.24,240.83,81.34601316752011
-1,201701,2017,1,Winter,201409,2014,9,Herbst,False,28,27.34,21.74,134.95,79.51719092904169
-1,201702,2017,2,Winter,201409,2014,9,Herbst,False,29,27.34,21.84,214.82,79.88295537673739
-1,201703,2017,3,Frühling,201409,2014,9,Herbst,False,30,27.34,22.09,261.42,80.79736649597659
-1,201704,2017,4,Frühling,201409,2014,9,Herbst,False,31,27.34,21.9,195.11,80.10241404535479
