MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,monat_jahr,monat_monat,monat_jahreszeit,KOHORTE,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-1,201607,2016,7,Sommer,201409,2014,9,Herbst,0,22,27.34,5.52,21.57,78.8788,62.35,191.25,0.0055240347,69.77,57.79,127.63,323.5,89.36,82.83,289.09,267.96,591.78
-1,201608,2016,8,Sommer,201409,2014,9,Herbst,0,23,27.34,5.52,21.21,77.5907,59.46,174.95,0.0057594608,67.52,54.93,133.29,318.29,88.06,81.35,280.29,258.94,628.31
-1,201609,2016,9,Herbst,201409,2014,9,Herbst,0,24,27.34,5.52,21.35,78.0924,56.74,168.55,0.0057046056,69.17,53.17,167.83,323.98,82.03,76.86,265.75,249.02,786.05
-1,201610,2016,10,Herbst,201409,2014,9,Herbst,0,25,27.34,5.52,21.96,80.3213,61.88,197.33,0.005313499,72.44,56.7,177.07,329.85,85.42,78.27,281.76,258.17,806.29
-1,201611,2016,11,Herbst,201409,2014,9,Herbst,0,26,27.34,5.52,22.04,80.6059,59.73,193.64,0.0052268346,69.14,52.79,278.52,313.74,86.38,76.35,271.02,239.54,1263.8
-1,201612,2016,12,Winter,201409,2014,9,Herbst,0,27,27.34,5.52,22.24,81.3248,67.52,237.22,0.0048232185,67.98,55.77,240.83,305.73,99.32,82.04,303.67,250.83,1083.12
-1,201701,2017,1,Winter,201409,2014,9,Herbst,0,28,27.34,5.52,21.74,79.5108,58.18,202.51,0.004868252,62.2,49.74,134.95,286.13,93.53,79.97,267.62,228.81,620.77
-1,201702,2017,2,Winter,201409,2014,9,Herbst,0,29,27.34,5.52,21.84,79.8775,57.81,194.83,0.0050276387,63.85,50.68,214.82,292.36,90.53,79.38,264.69,232.07,983.66
-1,201703,2017,3,Frühling,201409,2014,9,Herbst,0,30,27.34,5.52,22.09,80.7844,66.57,245.71,0.0045912901,73.99,58.35,261.42,334.99,89.98,78.86,301.41,264.18,1183.57
-1,201704,2017,4,Frühling,201409,2014,9,Herbst,0,31,27.34,5.52,21.9,80.1139,61.09,210.78,0.004910878,67.77,53.35,195.11,309.4,90.14,78.72,278.88,243.55,890.75
